Artist,Year Inducted,Years Waited,# of Years Nominated
Afrika Bambaataa,,14,1
Alice In Chains,,3,0
Bad Brains,,12,1
Bad Company,,20,0
Barry White,,21,0
Bauhaus,,15,0
Ben E. King,,32,3
Big Mama Thornton,,42,0
Big Star,,22,0
Billy Ward and his Dominoes,,43,1
Bjork,,17,0
Black Flag,,16,0
Boston,,17,0
Brian Eno,,20,0
Can,,26,0
Captain Beefheart,,28,0
Carly Simon,,22,0
Carole King,,35,1
Chaka Khan,,15,2
Cher,,28,0
Chic,,17,11
Chubby Checker,,33,0
Chuck Willis,,42,6
Connie Francis,,36,0
Conway Twitty,,34,1
De La Soul,,6,0
Depeche Mode,,13,2
Dick Dale,,32,0
Duran Duran,,13,0
"Emerson, Lake & Palmer",,24,0
Eric B. & Rakim,,8,1
Esther Phillips,,43,2
Eurythmics,,13,1
Faith No More,,9,0
Foreigner,,16,0
Fugazi,,6,0
George Michael,,7,0
Gram Parsons,,27,3
Guitar Slim,,42,0
Harry Nilsson,,27,0
Husker Du,,13,0
Ice Cube,,3,0
Ice-T,,11,0
INXS,,14,0
Iron Maiden,,15,0
Jan & Dean,,34,0
Jane's Addiction,,7,1
Jethro Tull,,26,0
Jim Croce,,28,0
Joe Cocker,,24,0
Joe Tex,,28,5
John Coltrane,,38,0
Johnny Ace,,38,2
Johnny Burnette,,38,0
Joy Division,,16,0
Judas Priest,,20,1
Junior Walker & the All-Stars,,28,0
Kansas,,19,0
Kate Bush,,16,1
King Crimson,,25,0
Link Wray,,36,2
Los Lobos,,15,1
Love,,28,0
Mary Wells,,33,2
Massive Attack,,6,0
Megadeth,,9,0
Motley Crue,,13,0
Motorhead,,17,0
My Bloody Valentine,,9,0
New Order,,13,0
New York Dolls,,21,1
Nick Cave,,10,0
Nick Drake,,25,0
Nine Inch Nails,,5,2
Ozzy Osbourne,,14,0
Pantera,,11,0
Pat Benatar,,15,0
Peter Frampton,,21,0
Peter Tosh,,17,0
"Peter, Paul & Mary",,32,0
Phil Collins,,12,0
Phish,,5,0
Pixies,,7,0
Procol Harum,,27,1
Rick James,,15,0
Salt-N-Pepa,,7,0
Scorpions,,21,0
Scott Walker,,28,0
Screamin' Jay Hawkins,,36,0
Silver Apples,,26,0
Siouxsie & the Banshees,,16,0
Slayer,,11,0
Smashing Pumpkins,,3,0
Sonic Youth,,12,0
Soundgarden,,8,0
Sparks,,23,0
Steppenwolf,,26,1
Steve Winwood,,22,1
Sting,,11,1
Stone Roses,,9,0
Styx,,21,0
Suicide,,17,0
T. Rex,,26,0
Television,,19,0
The B-52's,,15,0
The Buzzcocks,,17,0
The Carpenters,,25,0
The Chantels,,35,2
The Clovers,,43,0
The Commodores,,20,0
The Dead Kennedys,,15,0
The Doobie Brothers,,23,0
The Flaming Lips,,10,0
The Go-Gos,,13,0
The Guess Who,,29,0
The J. Geils Band,,23,5
The J.B.'s,,23,1
The Jam,,17,0
The Jesus and Mary Chain,,10,0
The Marvelettes,,33,2
The Meters,,24,4
The Monkees,,28,0
The Replacements,,13,1
The Runaways,,18,0
The Shangri-Las,,28,0
The Sir Douglas Quintet,,25,1
The Smiths,,11,2
The Specials,,15,0
The Spinners,,33,3
Thin Lizzy,,23,0
Three Dog Night,,25,0
Tina Turner,,20,0
Tommy James & the Shondells,,28,0
Toots & the Maytals,,32,0
Toto,,15,0
War,,23,3
Warren Zevon,,25,0
Whitney Houston,,10,0
Willie Nelson,,32,0
X,,16,0
XTC,,17,0
Stone Temple Pilots,,1,0
Weird Al Yankovic,,14,0
A Tribe Called Quest,,3,0
Pavement,,4,0
